frame_index,source_filename,dice,iou,precision,recall,specificity,pixel_accuracy
23,cju0qx73cjw570799j4n5cjze.jpg,0.9583786188526667,0.9200834738981878,0.9296733311482575,0.9889130358989855,0.9708934538532148,0.9759407552083333
24,cju0qx73cjw570799j4n5cjze.jpg,0.9528144676948542,0.9098812371838687,0.9182465859731189,0.9900868130207909,0.9657024774703485,0.9725325520833333
25,cju0qx73cjw570799j4n5cjze.jpg,0.9526455854727615,0.9095732755399447,0.917902970361033,0.9901216776877753,0.9655442159952612,0.9724283854166667
26,cju0qx73cjw570799j4n5cjze.jpg,0.9524528217511851,0.9092218866394168,0.9175650787838319,0.9900984345764524,0.9653904762766049,0.9723111979166666
27,cju0qx73cjw570799j4n5cjze.jpg,0.9524528217511851,0.9092218866394168,0.9175650787838319,0.9900984345764524,0.9653904762766049,0.9723111979166666
28,cju0qx73cjw570799j4n5cjze.jpg,0.9524528217511851,0.9092218866394168,0.9175650787838319,0.9900984345764524,0.9653904762766049,0.9723111979166666
29,cju0qx73cjw570799j4n5cjze.jpg,0.9524528217511851,0.9092218866394168,0.9175650787838319,0.9900984345764524,0.9653904762766049,0.9723111979166666
30,cju0roawvklrq0799vmjorwfv.jpg,0.9309801145504859,0.8708725882671643,0.8842333669508878,0.9829454730762698,0.9863625726783432,0.98603515625
31,cju0roawvklrq0799vmjorwfv.jpg,0.9301495417269657,0.8694201460907205,0.8830102274461914,0.9826057414642433,0.986204165391608,0.985859375
32,cju0roawvklrq0799vmjorwfv.jpg,0.9297735200038577,0.8687633294283741,0.8823601195924096,0.9825717683030406,0.9861177614170252,0.9857779947916666
33,cju0roawvklrq0799vmjorwfv.jpg,0.929639034425123,0.8685285285285286,0.882117912587306,0.9825717683030406,0.9860853599265567,0.9857486979166666
34,cju0roawvklrq0799vmjorwfv.jpg,0.9297757775456079,0.8687672714165565,0.8823367907260524,0.9826057414642433,0.9861141612514176,0.9857779947916666
35,cju0roawvklrq0799vmjorwfv.jpg,0.9297907223454528,0.8687933675768226,0.8823637084718875,0.9826057414642433,0.9861177614170252,0.98578125
36,cju0roawvklrq0799vmjorwfv.jpg,0.9310328177560316,0.8709648277523488,0.8846036212380719,0.9826057414642433,0.9864165751624575,0.9860514322916667
37,cju0roawvklrq0799vmjorwfv.jpg,0.9305410234534713,0.8701044582919414,0.8842388644150758,0.9819602514013929,0.9863769733407737,0.9859537760416667
38,cju0roawvklrq0799vmjorwfv.jpg,0.9305627092454288,0.8701423798199934,0.8841953935093139,0.9820621708850008,0.9863697730095584,0.98595703125
39,cju0roawvklrq0799vmjorwfv.jpg,0.9306376060396311,0.8702733622350675,0.8843306412139011,0.9820621708850008,0.9863877738375966,0.9859733072916667
